Training score,Validation score,Testing score,Task,Dataset,Network,Method,p,q,gamma
0.5198803456817696,0.9439861903805479,-0.07480794912534694,blood_GO:0045639,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
0.5386381797992605,-0.23605534684131,0.6323355138088791,blood_GO:0045765,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
0.8555865699429396,-0.282046853283417,1.8013065506170916,blood_GO:0045766,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
0.3917064260545852,0.7892575204453872,0.5023186930922497,blood_GO:0070486,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
0.6503796329349916,0.35468657744176674,0.34849407665474635,blood_vessel_GO:0001525,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
0.7289817368432608,-0.3046288062139735,0.7587357685500462,blood_vessel_GO:0045765,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
0.4584282290688637,0.04035411505288086,0.693754564238797,brain_GO:0007420,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
0.7447448295538006,1.2424521693173665,-0.055603591659656115,heart_GO:0007507,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
0.6561374826176115,0.876285358865396,0.621113852794528,heart_GO:0008016,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
1.5072870931906026,1.0953446611644118,0.3574554349622357,kidney_GO:0001822,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
1.2385887484801748,-0.2698370663044722,0.4804006131191007,muscle_GO:0003012,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
1.41090064961457,-0.24061526742894135,0.5547439485420367,muscle_GO:0006936,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
1.021813321526222,0.8758860651408097,1.6549361050720797,muscle_GO:0006937,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
0.8413010234586005,0.1815102970111169,0.33041147161517,muscle_GO:0016202,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
0.8413010234586005,0.1815102970111169,0.33041147161517,muscle_GO:0048634,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
1.0723917394357587,0.4183284593113786,2.176511343476339,muscle_GO:0051147,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
1.2213951953591455,-0.03860987475452462,0.1831895093264811,muscle_GO:0090257,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
0.7015519760372972,0.425969114316721,0.49810204460398166,blood_GO:0001525,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
0.5194307691577176,0.898984603803635,0.20332168272571605,blood_GO:0001568,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
1.337566859971583,-0.06092737536640987,0.7292077944246513,blood_GO:0007596,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
0.4948538888850932,1.356927350433439,0.2653859942862348,blood_GO:0030098,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
0.18722889544583302,0.03306984626253559,0.34526130621894036,blood_GO:0030099,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
0.5386489734601018,0.11300516529473104,0.3279901372572523,blood_GO:0030168,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
0.3668759925546992,0.3510257068465791,-0.015544571885604371,blood_GO:0045637,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
1.2880581724522289,0.7746979224006437,0.13963495912857465,blood_GO:0045638,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
0.9602537910545808,0.5768578488395734,0.7567024813312677,blood_GO:0045639,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
0.7566841351805297,0.7601196325323616,0.08531349095179015,blood_GO:0045765,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
0.8982377934417786,1.00640580680936,-0.2665464263777472,blood_GO:0045766,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
0.24975781686658322,0.8580371963582636,0.19573422597788587,blood_GO:0070486,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
0.6278784214953563,0.9699137499114779,0.7918065061037824,blood_vessel_GO:0001525,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
0.4729638896768097,0.1385660393587544,-0.11774273591885012,blood_vessel_GO:0045765,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
0.5685809955462567,-0.25680423557395526,0.03911912531414851,brain_GO:0007420,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
0.5435483570582604,0.9543398841047186,0.8219973155914475,heart_GO:0007507,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
1.2351437982406457,0.7957043763267662,1.3150364207640566,heart_GO:0008016,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
0.9823361551671507,0.5047134494827172,0.5087566893966627,kidney_GO:0001822,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
1.5019684899522074,1.7688682339439525,1.6636526111467558,muscle_GO:0003012,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
1.8557195301995102,1.762159127014354,1.6768056755186365,muscle_GO:0006936,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
1.5321703291062707,2.2434457617488213,2.403578713035722,muscle_GO:0006937,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
0.6436478071142646,0.734179819234696,-0.37458478874860734,muscle_GO:0016202,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
0.6436478071142646,0.734179819234696,-0.37458478874860734,muscle_GO:0048634,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
0.4216847145699662,1.1011107558701212,1.030341343345628,muscle_GO:0051147,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
1.0247711911593287,1.9866839480661096,2.1576873348296073,muscle_GO:0090257,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.01,0.01,0
0.9106680743748491,0.11148087034978618,0.5797229694193133,blood_GO:0001525,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
0.4358953660051574,1.0638914283761323,0.13487128045446747,blood_GO:0001568,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
1.2000249590312153,0.29581046952229656,0.5097266794984838,blood_GO:0007596,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
0.46588586841274915,0.7976658892947199,-0.20500721918122147,blood_GO:0030098,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
0.2570429956667566,0.7926026464757951,0.10102165432744327,blood_GO:0030099,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
0.2974388303725418,0.035382305947861986,-0.3883719837683865,blood_GO:0030168,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
0.4694464722302935,0.8403893170867907,0.23920183343512183,blood_GO:0045637,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
1.2488781122215236,1.1656295664466412,0.43738928440506536,blood_GO:0045638,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
0.7368570824850418,0.37256326003802454,0.059164836945238525,blood_GO:0045639,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
0.4968686647570487,1.2271350454549474,-0.2038488847687737,blood_GO:0045765,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
0.6135883478646775,2.0670383876666314,-0.25882421858277416,blood_GO:0045766,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
0.49031597389549986,0.2935511162803657,-0.03809545537880216,blood_GO:0070486,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
0.7287871681104423,0.36747381448827854,0.259680333267486,blood_vessel_GO:0001525,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
0.5555469597262025,0.14915219474450042,0.11702682036613093,blood_vessel_GO:0045765,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
0.6408400260521935,-0.22833568550907882,0.3346118680290958,brain_GO:0007420,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
0.3300213432137556,1.0986883685508808,0.8839223805623144,heart_GO:0007507,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
1.2816761706078914,0.8201501273230251,1.3150147145943272,heart_GO:0008016,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
0.8816297207975206,0.36865764149087665,0.9871409194469938,kidney_GO:0001822,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
1.5172892361414536,1.6535250212707524,1.4126660800748236,muscle_GO:0003012,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
1.780369740048567,1.5461886702493737,1.393926503058296,muscle_GO:0006936,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
1.6264076482478078,2.467788606140215,2.4651798120386905,muscle_GO:0006937,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
0.47532969477924253,1.1456402188330406,0.18474081155626013,muscle_GO:0016202,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
0.47532969477924253,1.1456402188330406,0.18474081155626013,muscle_GO:0048634,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
0.7422103527207706,0.6700663148781885,0.5641172701031287,muscle_GO:0051147,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
1.214253789627112,2.1977599643998715,2.1211179030078995,muscle_GO:0090257,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,0.1,0.01,0
0.46905639784867353,0.050536470519727664,0.09427034520258837,blood_GO:0001525,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,100.0,0.01,0
0.6430900806671387,0.5277729530942469,0.41200777603110134,blood_GO:0001568,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,100.0,0.01,0
1.3281505462369165,0.4792200523458259,0.5412143696262681,blood_GO:0007596,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,100.0,0.01,0
0.46354861895053245,0.9407068969559496,0.22374722192509297,blood_GO:0030098,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,100.0,0.01,0
0.17736388149076654,0.6443387103191407,0.7871219921876318,blood_GO:0030099,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,100.0,0.01,0
0.5295010089832581,0.016731066300133372,0.24116712100973492,blood_GO:0030168,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,100.0,0.01,0
0.4416740768284374,0.5230703863595276,0.22207050182945176,blood_GO:0045637,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,100.0,0.01,0
1.1050675816742783,1.0130528600838626,0.48210810384197683,blood_GO:0045638,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,100.0,0.01,0
0.9542330287419974,0.061889488180543524,0.6071296754742559,blood_GO:0045639,GOBP-tissue,GTExCoExp-blood_vessel,Node2vec,100.0,0.01,0
